layer	source	target	run	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	clf	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	list	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	reparandum	vocative	xcomp
2	en	es	3	0.8369	0.698	0.8819	0.8399	0.5326	0.9374	0.9619	0.9664	0.7477		0.7721	0.8118	0.9126	0.3429	0	0.9884	0.607		0.871	0.9672	0.7549	0.2857	0.6562	0.7407	0.9402	0.8742	0.9319	0.819	0.8814	0.8228	0	0.3185	0	0.3333	0.7742
2	en	fr	3	0.7955	0.6089	0.8784	0.8372	0.4478	0.9503	0.9646	0.965	0.7152		0.7582	0.7374	0.934	0.2222	0	0.9887	0.5926		0.8618	0.9677	0.7456	0.3226	0.7671	0.5772	0.9445	0.8529	0.9252	0.8414	0.8565	0.7991	0	0.1452	0	0.2609	0.784
2	en	ru	3	0.794	0.6694	0.8597	0.8036	0.4804	0.9326	0.9493	0.9697	0.6947		0.7584	0.8229	0.904	0.3243	0	0.9801	0.6421		0.8525	0.9194	0.7495	0.1053	0.6102	0.6074	0.9226	0.8442	0.9236	0.7687	0.8437	0.7927	0	0.3794	0	0.2609	0.7592
2	en	zh	3	0.8091	0.6834	0.8401	0.8081	0.5037	0.9343	0.95	0.9665	0.7371		0.7669	0.8351	0.9089	0.4737	0	0.978	0.5778		0.8571	0.8926	0.7439	0.4138	0.6765	0.7025	0.9305	0.8371	0.9278	0.8052	0.8576	0.7921	0	0.391	0	0.25	0.7464
2	en	en	3	0.462	0.3354	0.7704	0.7142	0.2436	0.8794	0.921	0.9644	0.5336		0.6516	0.5451	0.8254	0	0	0.981	0.5349		0.8246	0.9524	0.6312	0	0.5667	0.434	0.8427	0.6819	0.8183	0.7305	0.6863	0.5697	0	0.0687	0	0	0.6328
3	en	ar	3	0.828	0.7045	0.8825	0.8502	0.506	0.9513	0.9699	0.9691	0.7526		0.7937	0.8225	0.937	0.4737	0	0.9876	0.6436		0.8618	0.9516	0.8131	0.3571	0.7164	0.6247	0.9476	0.8761	0.9392	0.8551	0.8768	0.8293	0	0.3302	0	0.4444	0.7994
3	en	es	3	0.8491	0.7457	0.8868	0.8486	0.5637	0.9514	0.9692	0.9686	0.7636		0.7912	0.826	0.9287	0.3333	0	0.9877	0.6632		0.875	0.9836	0.7929	0.2	0.7463	0.6297	0.9545	0.8871	0.9416	0.8388	0.897	0.8443	0	0.3648	0	0.32	0.8119
3	en	fr	3	0.832	0.6841	0.8859	0.8394	0.4604	0.9464	0.9646	0.9663	0.7343		0.7728	0.8161	0.9371	0.1935	0	0.9882	0.6354		0.8308	0.9677	0.8124	0.1	0.7467	0.6202	0.948	0.8703	0.9354	0.8388	0.8675	0.8246	0	0.3715	0	0.3333	0.7894
3	en	ru	3	0.8038	0.7103	0.869	0.8172	0.4732	0.9508	0.9639	0.9657	0.7647		0.777	0.8207	0.9254	0.3333	0	0.9857	0.6489		0.8525	0.9531	0.7835	0.2308	0.6765	0.6437	0.9408	0.8486	0.9414	0.8315	0.8682	0.8144	0	0.4057	0	0.4286	0.8024
3	en	zh	3	0.8209	0.7231	0.8717	0.8088	0.4848	0.9385	0.9664	0.971	0.7692		0.7682	0.8518	0.9184	0.4242	0	0.982	0.6289		0.871	0.9919	0.7754	0.3871	0.6667	0.5873	0.9447	0.8708	0.9388	0.8357	0.8807	0.8223	0	0.4289	0	0.3846	0.7955
3	en	en	3	0.3853	0.3642	0.7384	0.6804	0.23	0.8823	0.9193	0.9622	0.5374		0.6593	0.5664	0.8236	0	0	0.9779	0.5349		0.8235	0.9206	0.6345	0.1111	0.5263	0.3386	0.8393	0.6761	0.8511	0.7341	0.7398	0.5934	0	0.1224	0	0.25	0.609
4	en	ar	3	0.8445	0.7779	0.8759	0.847	0.5922	0.9498	0.9693	0.9704	0.7975		0.7978	0.8517	0.9291	0.4211	0	0.9871	0.602		0.873	0.9516	0.7584	0.1739	0.7536	0.6505	0.9498	0.8895	0.9464	0.8445	0.8977	0.8631	0	0.3738	0	0.32	0.841
4	en	es	3	0.8541	0.7584	0.8809	0.8614	0.6069	0.9537	0.9692	0.9677	0.7939		0.798	0.8666	0.939	0.439	0	0.989	0.6256		0.9008	0.9593	0.8118	0.1481	0.7467	0.7114	0.9527	0.9035	0.9515	0.8515	0.921	0.8656	0	0.4182	0	0.3704	0.8399
4	en	fr	3	0.8587	0.7609	0.8817	0.8527	0.5455	0.9544	0.969	0.9676	0.7934		0.7989	0.873	0.9359	0.2941	0	0.9898	0.5789		0.8361	0.9516	0.7986	0.087	0.7895	0.693	0.9557	0.9003	0.9479	0.8582	0.9104	0.8588	0	0.4973	0	0.4	0.8232
4	en	ru	3	0.8367	0.766	0.8607	0.8241	0.5399	0.9363	0.9673	0.9649	0.7495		0.7801	0.8529	0.9024	0.2424	0	0.9844	0.6429		0.8571	0.9244	0.8214	0.1875	0.7838	0.6217	0.9449	0.8762	0.9404	0.8367	0.9015	0.8307	0	0.4629	0	0.4444	0.8018
4	en	zh	3	0.8252	0.7324	0.8571	0.8186	0.5529	0.941	0.9637	0.9692	0.7982		0.7815	0.8615	0.9159	0.303	0	0.9825	0.6211		0.873	0.9839	0.8047	0.2424	0.7733	0.7041	0.9465	0.8786	0.9434	0.8386	0.8788	0.8407	0	0.4518	0	0.625	0.7994
